Date,Hour,Region,Temperature,Weather,Solar_Generation,Wind_Generation,Hydro_Generation,Grid_Supply,Total_Consumption,Battery_Level,Month
2024-01-01,0,Bangalore,15.42,Rainy,0.0,589.0,34.0,917.0,2078.0,0.0,1
2024-01-01,0,Mysore,16.07,Cloudy,0.0,444.0,52.0,194.0,637.0,40.1,1
2024-01-01,0,Mangalore,21.53,Cloudy,0.0,482.0,72.0,139.0,441.0,57.9,1
2024-01-01,0,Hubli-Dharwad,15.89,Windy,0.0,1164.0,39.0,158.0,553.0,95.5,1
2024-01-01,0,Belgaum,14.52,Windy,0.0,841.0,42.0,139.0,463.0,79.4,1
2024-01-01,1,Bangalore,15.79,Windy,0.0,594.0,34.0,982.0,2076.0,0.0,1
2024-01-01,1,Mysore,16.99,Windy,0.0,762.0,51.0,195.0,653.0,61.2,1
2024-01-01,1,Mangalore,22.37,Windy,0.0,816.0,65.0,130.0,426.0,81.8,1
2024-01-01,1,Hubli-Dharwad,16.02,Windy,0.0,1219.0,43.0,165.0,555.0,99.5,1
2024-01-01,1,Belgaum,15.19,Windy,0.0,1087.0,46.0,158.0,506.0,93.9,1
2024-01-01,2,Bangalore,17.67,Windy,0.0,544.0,38.0,1082.0,2181.0,0.0,1
2024-01-01,2,Mysore,17.63,Windy,0.0,639.0,50.0,182.0,634.0,53.9,1
2024-01-01,2,Mangalore,22.79,Cloudy,0.0,577.0,61.0,135.0,440.0,63.9,1
2024-01-01,2,Hubli-Dharwad,17.46,Windy,0.0,1034.0,41.0,164.0,553.0,86.5,1
2024-01-01,2,Belgaum,16.5,Windy,0.0,1215.0,45.0,142.0,474.0,100.0,1
2024-01-01,3,Bangalore,17.54,Windy,0.0,753.0,38.0,842.0,2160.0,0.0,1
2024-01-01,3,Mysore,18.76,Windy,0.0,637.0,57.0,179.0,621.0,55.1,1
2024-01-01,3,Mangalore,24.13,Windy,0.0,988.0,64.0,121.0,417.0,94.5,1
2024-01-01,3,Hubli-Dharwad,19.93,Windy,0.0,1134.0,40.0,161.0,541.0,94.3,1
2024-01-01,3,Belgaum,17.17,Windy,0.0,916.0,45.0,145.0,471.0,84.3,1
2024-01-01,4,Bangalore,18.95,Cloudy,0.0,472.0,39.0,1010.0,2101.0,0.0,1
2024-01-01,4,Mysore,20.86,Windy,0.0,660.0,54.0,183.0,630.0,55.9,1
2024-01-01,4,Mangalore,25.09,Cloudy,0.0,554.0,65.0,130.0,453.0,61.6,1
2024-01-01,4,Hubli-Dharwad,21.25,Cloudy,0.0,707.0,39.0,161.0,536.0,64.7,1
2024-01-01,4,Belgaum,19.05,Cloudy,0.0,534.0,45.0,145.0,480.0,56.9,1
2024-01-01,5,Bangalore,21.22,Rainy,0.0,610.0,40.0,1028.0,2204.0,0.0,1
2024-01-01,5,Mysore,22.51,Cloudy,0.0,332.0,56.0,195.0,649.0,31.7,1
2024-01-01,5,Mangalore,25.64,Cloudy,0.0,462.0,63.0,131.0,430.0,56.6,1
2024-01-01,5,Hubli-Dharwad,21.53,Cloudy,0.0,614.0,40.0,157.0,515.0,59.7,1
2024-01-01,5,Belgaum,20.42,Windy,0.0,939.0,48.0,150.0,507.0,83.6,1
2024-01-01,6,Bangalore,22.59,Sunny,0.0,348.0,35.0,1709.0,2836.0,0.0,1
2024-01-01,6,Mysore,25.31,Sunny,0.0,408.0,50.0,255.0,887.0,20.0,1
2024-01-01,6,Mangalore,28.36,Windy,0.0,811.0,73.0,174.0,588.0,70.7,1
2024-01-01,6,Hubli-Dharwad,25.72,Windy,0.0,930.0,38.0,206.0,687.0,69.7,1
2024-01-01,6,Belgaum,23.4,Windy,0.0,1078.0,43.0,197.0,672.0,81.4,1
2024-01-01,7,Bangalore,24.04,Cloudy,82.0,386.0,38.0,1621.0,3002.0,0.0,1
2024-01-01,7,Mysore,25.83,Cloudy,86.0,387.0,56.0,253.0,830.0,28.9,1
2024-01-01,7,Mangalore,29.07,Windy,119.0,927.0,70.0,166.0,568.0,88.4,1
2024-01-01,7,Hubli-Dharwad,26.33,Sunny,215.0,598.0,41.0,217.0,720.0,59.4,1
2024-01-01,7,Belgaum,24.52,Sunny,225.0,522.0,49.0,196.0,636.0,61.2,1
2024-01-01,8,Bangalore,25.88,Sunny,413.0,384.0,35.0,1393.0,2950.0,0.0,1
2024-01-01,8,Mysore,27.11,Cloudy,171.0,409.0,57.0,252.0,848.0,35.2,1
2024-01-01,8,Mangalore,29.75,Sunny,392.0,422.0,62.0,176.0,589.0,70.1,1
2024-01-01,8,Hubli-Dharwad,27.77,Cloudy,187.0,587.0,37.0,229.0,754.0,54.0,1
2024-01-01,8,Belgaum,26.1,Windy,304.0,990.0,49.0,196.0,652.0,98.4,1
2024-01-01,9,Bangalore,26.02,Sunny,574.0,357.0,38.0,2300.0,4316.0,0.0,1
2024-01-01,9,Mysore,27.84,Cloudy,247.0,348.0,50.0,375.0,1269.0,6.3,1
2024-01-01,9,Mangalore,30.05,Cloudy,239.0,444.0,69.0,249.0,875.0,41.4,1
2024-01-01,9,Hubli-Dharwad,29.68,Sunny,730.0,560.0,44.0,344.0,1134.0,64.0,1
2024-01-01,9,Belgaum,27.62,Windy,487.0,1007.0,48.0,273.0,950.0,91.4,1
2024-01-01,10,Bangalore,27.14,Sunny,732.0,329.0,37.0,1918.0,4136.0,0.0,1
2024-01-01,10,Mysore,29.5,Sunny,919.0,350.0,55.0,378.0,1232.0,56.4,1
